RefID,Project,Location,Est Cost $M,2022-23,2023-24,0-5,5-10,0-10,0-15,10-15,15+,Challenge / Opportunity,log_cost,Region_Presented,Region_Big Rivers,Region_Central Australia,Region_East Arnhem,Region_Greater Darwin,Region_Territory Wide,Region_Top End Rural,Sub Sector_Agribusiness,Sub Sector_Air Transport,Sub Sector_Aquaculture,Sub Sector_Arts Trail,Sub Sector_Aviation Technology,Sub Sector_Civic Services,Sub Sector_Cotton,Sub Sector_Creative Industries,Sub Sector_Cruise Industry,Sub Sector_Cultural Experiences,Sub Sector_Development and Maintenance of Facilities,Sub Sector_Digital Industries,Sub Sector_Digital and Telecommunications Infrastructure,Sub Sector_Drive Market,Sub Sector_Education and Training,Sub Sector_Electricity,Sub Sector_Festivals and Major Events,Sub Sector_Fuel Storage,Sub Sector_Green and Blue Infrastructure,Sub Sector_Health,Sub Sector_Heritage Trails,Sub Sector_Horticulture,Sub Sector_Housing,Sub Sector_Industrial Subdivisions,Sub Sector_Intermodal Hubs,Sub Sector_Justice and Public Safety,Sub Sector_Lifestyle,Sub Sector_Manufacturing,Sub Sector_Marine Infrastructure,Sub Sector_Meeting Places,Sub Sector_Mining,Sub Sector_National Critical Care and Trauma Response,"Sub Sector_Parks, Reserves, Waterways","Sub Sector_Rail, Roads and Bridges",Sub Sector_Residential Subdivisions,Sub Sector_Retail and Business,Sub Sector_Space,Sub Sector_Sport and Recreation,"Sub Sector_Sporting, Recreation, Lifestyle",Sub Sector_Superyacht Industry,Sub Sector_Tourism,Sub Sector_Training Facilities,Sub Sector_Transport and Logistics,Sub Sector_Unlock the potential of the Territory's regions,Sub Sector_Waste Management,Sub Sector_Water,Sub Sector_Work stay play,Enabling Infrastructure_Other,Enabling Infrastructure_Social Infrastructure,Enabling Infrastructure_Transport and Logistics,Enabling Infrastructure_Utilities,Industry Sector_Civic Services,Industry Sector_Defence and Security,Industry Sector_Education and Training,Industry Sector_Emerging Industries,Industry Sector_Health,Industry Sector_Housing,Industry Sector_Justice and Public Safety,Industry Sector_Land,Industry Sector_Lifestyle,Industry Sector_Resources,"Industry Sector_Sporting, Recreation, Lifestyle",Industry Sector_Tourism,Industry Sector_Transport and Logistics,Industry Sector_Utilities,Category_P
0e14,Mimika-Ga (Henbury Avenue) - early intervention hub upgrades,"-12.3601, 130.8781",2.5,2.6,3.0,,,,,,,Master planned infrastructure to provide contemporary early years educational facilities to support students with additional needs,0.3979400086720376,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
580,Moil Primary School - relocate preschool and refurbish administration building,"-12.387785, 130.881084",5.5,2.6,3.0,,,,,,,Master planned infrastructure to provide contemporary early years educational facilities to support growth in population and student enrolments,0.7403626894942439,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9k6,Museum and Art Gallery of the Northern Territory (MAGNT) - cultural collections storage upgrade (visual arts store only),"-12.460834, 130.84444",1.5,2.6,3.0,,,,,,,"Value, preserve and expand historic and cultural places, increase visitation opportunities and visitor experience",0.17609125905568124,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
8p51,New Water Police Complex,"-12.47652, 130.9162",40.0,2.6,3.0,,,,,,,Support the continued delivery of quality police services ,1.6020599913279623,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
9e17,"Nightcliff Middle School - upgrade home economics and canteen, traffic calming and grounds

","-12.383831, 130.848479",3.0,2.6,3.0,,,,,,,Upgrade ageing infrastructure to support the continued delivery of quality education,0.47712125471966244,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0e15,"Nightcliff Middle School - upgrade science lab

","-12.3790129, 130.8517495",2.0,2.6,3.0,,,,,,,Upgrade ageing infrastructure to support the continued delivery of quality education,0.3010299956639812,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
587,Nightcliff Primary School - replace demountables with four new classrooms ,"-12.38057404, 130.85016",2.5,2.6,3.0,,,,,,,Contemporary educational infrastructure to support growth in population and student enrolments,0.3979400086720376,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
534,Northcrest - new preschool and primary school for 500 enrolments,"-12.432, 130.9205",50.0,2.6,3.0,,,,,,,Contemporary educational infrastructure to support growth in population and student enrolments,1.6989700043360187,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0e10,Palmerston and the rural area - school infrastructure to support students with additional needs,"-12.5151, 130.983",21.0,2.6,5.0,,,,,,,Contemporary educational infrastructure to support students with additional needs,1.3222192947339193,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9e33,"Palmerston College - Rosebery campus - additional science lab



",Roseberry NT Australia,1.5,2.6,3.0,,,,,,,Master planned infrastructure to provide contemporary educational facilities to support growth in population and student enrolments,0.17609125905568124,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2e33,"Palmerston College - Rosebery campus - staff development centre


",Roseberry NT Australia,1.5,2.6,3.0,,,,,,,Master planned infrastructure to provide contemporary educational facilities to support growth in population and student enrolments,0.17609125905568124,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
595,Parap Primary School - preschool,"-12.42984, 130.84433",4.0,2.6,3.0,,,,,,,Upgrade ageing infrastructure to support the continued delivery of quality education,0.6020599913279624,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0e16,Parap Primary School - upgrade arts space and classrooms,"-12.42984, 130.84433",4.0,2.6,3.0,,,,,,,Upgrade ageing infrastructure to support the continued delivery of quality education,0.6020599913279624,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9p01,Peter McAulay Centre - new exhibits / property storage facility,"-12.432, 130.9205",7.0,2.6,3.0,,,,,,,Support the continued delivery of quality police services ,0.8450980400142568,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2a7.1,Royal Darwin Hospital upgrades,"-12.3601, 130.8781",5.3,2.6,3.0,,,,,,,Strengthen liveability by improving infrastructure to support health services,0.724275869600789,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7e1109,Stuart Park Primary School expansion,"-12.441043, 130.845093",10.0,2.6,3.0,,,,,,,Contemporary educational infrastructure to support growth in population and student enrolments,1.0,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
609,Taminmin College - multi-purpose community hall,"-12.5842, 131.1258",15.0,2.6,3.0,,,,,,,Master planned infrastructure to provide contemporary educational facilities to support growth in population and student enrolments,1.1760912590556813,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2p26,Virginia/Bees Creek Volunteer Fire Bridage - construct new station ,"-12.5448, 131.0192",3.0,2.6,3.0,,,,,,,Strengthen emergency support services in rural communities,0.47712125471966244,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2e27,Zuccoli Primary School - four additional classrooms,"-12.5109, 131.00602",2.5,2.6,3.0,,,,,,,Contemporary educational infrastructure to support growth in population and student enrolments,0.3979400086720376,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8k31,Abala Road revitalisation,Abala Rd NT Australia,10.0,2.6,3.0,,,,,,,Enhance liveability by improving access to sports facilities,1.0,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
